broad_category,shallow_category_name,Type,Color,Pattern Type,Length,Fit Type,Neckline,Sleeve Length,Sleeve Type,Hem Shaped,Waist Line,Details,Style
TOPS,Women Blouses,top,khaki,colorblock,regular,regular fit,notched,long sleeve,puff sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,khaki,animal|plants,regular,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,khaki,letter|figure,regular,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,khaki,halloween,regular,regular fit,round neck,short sleeve,drop shoulder,-,-,-,casual
TOPS,Women Blouses,top,khaki,all over print,regular,regular fit,round neck,long sleeve,puff sleeve,-,-,knot,casual
TOPS,Women T-Shirts,-,grey,plain,regular,slim fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women Blouses,top,green,plain,regular,regular fit,round neck,cap sleeve,butterfly sleeve,-,-,ruffle,casual
TOPS,Women Blouses,top,green,all over print,regular,regular fit,tie neck,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,green,striped,regular,slim fit,v neck,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women Blouses,top,dusty purple,plain,regular,regular fit,round neck,three quarter length sleeve,flounce sleeve,-,-,ruffle,casual
TOPS,Women Blouses,top,dusty pink,plain,regular,regular fit,round neck,cap sleeve,petal sleeve,-,-,-,casual
TOPS,Women Blouses,top,dusty pink,plain,regular,regular fit,round neck,long sleeve,drop shoulder,-,-,-,casual
TOPS,Women Blouses,top,dusty pink,all over print,regular,regular fit,v neck,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women Blouses,peplum,dusty blue,plain,regular,regular fit,off the shoulder,long sleeve,flounce sleeve,-,-,ruffle hem,casual
TOPS,Women T-Shirts,-,dusty blue,plants,regular,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women Tank Tops & Camis,cami,dark green,plain,regular,regular fit,spaghetti strap,-,-,-,-,-,casual
TOPS,Women Tank Tops & Camis,tank,chocolate brown,plain,regular,slim fit,square neck,-,-,-,-,zipper,casual
TOPS,Women Blouses,top,burgundy,plain,regular,regular fit,round neck,three quarter length sleeve,flounce sleeve,-,-,-,casual
TOPS,Women Blouses,top,burgundy,plain,regular,regular fit,scoop neck,short sleeve,batwing sleeve,-,-,-,casual
TOPS,Women Blouses,top,black and white,houndstooth,regular,regular fit,notched,long sleeve,flounce sleeve,-,-,ruffle,casual
TOPS,Women T-Shirts,-,black and white,letter|colorblock,regular,oversized,round neck,long sleeve,drop shoulder,-,-,embroidery,casual
TOPS,Women Blouses,top,black and white,all over print,regular,regular fit,round neck,long sleeve,bishop sleeve,-,-,button,casual
TOPS,Women Blouses,shirt,black,plain,regular,regular fit,collar,long sleeve,regular sleeve,-,-,pocket|button front,casual
TOPS,Women Blouses,top,black,colorblock,regular,regular fit,collar,short sleeve,regular sleeve,-,-,contrast collar|button,casual
TOPS,Women Blouses,top,black,heart,regular,regular fit,collar,long sleeve,regular sleeve,-,-,contrast collar,casual
TOPS,Women Tank Tops & Camis,halter,black,plain,regular,slim fit,halter,-,-,-,-,criss cross|tie back|rib-knit,casual
TOPS,Women Blouses,top,black,plaid,regular,regular fit,notched,short sleeve,batwing sleeve,-,-,-,casual
TOPS,Women Blouses,top,black,plain,regular,regular fit,one shoulder,three quarter length sleeve,batwing sleeve,-,-,asymmetrical,casual
TOPS,Women Tank Tops & Camis,tank,black,plain,regular,regular fit,round neck,-,-,-,-,cut out|twist,casual
TOPS,Women T-Shirts,-,black,letter,regular,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,black,heart,regular,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,black,letter,regular,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,black,cartoon,regular,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,black,plain,regular,slim fit,stand collar,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women Blouses,top,black,plain,regular,regular fit,v neck,cap sleeve,butterfly sleeve,-,-,ruffle,casual
TOPS,Women Blouses,top,black,plain,regular,regular fit,v neck,short sleeve,batwing sleeve,-,-,sheer|contrast mesh,casual
TOPS,Women Blouses,shirt,beige,plain,regular,regular fit,collar,long sleeve,regular sleeve,-,-,button,casual
TOPS,Women Blouses,shirt,beige,striped,regular,regular fit,collar,long sleeve,regular sleeve,-,-,button front,casual
TOPS,Women Blouses,top,beige,plain,regular,regular fit,round neck,short sleeve,batwing sleeve,-,-,-,casual
TOPS,Women Blouses,top,apricot,all over print,regular,regular fit,notched,short sleeve,batwing sleeve,-,-,button front,casual
TOPS,Women T-Shirts,-,apricot,plain,regular,regular fit,v neck,long sleeve,bishop sleeve,-,-,rib-knit,casual
TOPS,Women T-Shirts,-,apricot,plain,regular,regular fit,v neck,long sleeve,drop shoulder,-,-,button front,casual
TOPS,Women Blouses,top,apricot,floral,regular,regular fit,v neck,cap sleeve,batwing sleeve,-,-,contrast lace,casual
TOPS,Women Knit Tops,-,apricot,plain,regular,slim fit,v neck,cap sleeve,regular sleeve,-,-,wrap|rib-knit,casual
TOPS,Women Blouses,shirt,white,butterfly|all over print,long,regular fit,collar,long sleeve,regular sleeve,-,-,button front,casual
TOPS,Women Blouses,tunic,white,plain,long,regular fit,collar,long sleeve,drop shoulder,-,-,button front,casual
TOPS,Women Blouses,shirt,white,plain,long,regular fit,collar,long sleeve,drop shoulder,-,-,button front,casual
TOPS,Women T-Shirts,-,white,letter,long,oversized,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women Knit Tops,-,white,plain,long,regular fit,v neck,sleeveless,regular sleeve,-,-,-,casual
TOPS,Women Blouses,shirt,multicolor,plaid|colorblock,long,oversized,collar,long sleeve,drop shoulder,-,-,button,casual
TOPS,Women Blouses,tunic,multicolor,graphic,long,oversized,collar,long sleeve,regular sleeve,-,-,button front,casual
TOPS,Women Blouses,peplum,multicolor,colorblock,long,regular fit,collar,long sleeve,bishop sleeve,-,-,button front,casual
TOPS,Women Blouses,tunic,mint green,plain,long,regular fit,collar,long sleeve,regular sleeve,-,-,pocket|button front,casual
TOPS,Women T-Shirts,-,light grey,letter,long,oversized,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women T-Shirts,-,khaki,letter,long,regular fit,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women T-Shirts,-,dusty purple,letter|tropical,long,oversized,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women Blouses,shirt,dark grey,leopard,long,oversized,collar,long sleeve,drop shoulder,-,-,button|pocket,casual
TOPS,Women T-Shirts,-,dark grey,letter,long,oversized,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women T-Shirts,-,dark grey,letter|tropical,long,oversized,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women T-Shirts,-,coffee brown,letter|tie dye,long,oversized,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women Knit Tops,pullovers,camel,plain,long,regular fit,v neck,short sleeve,batwing sleeve,slit,-,split|high low|pocket,casual
TOPS,Women T-Shirts,-,black and white,butterfly|colorblock,long,oversized,round neck,long sleeve,drop shoulder,-,-,-,casual
TOPS,Women Bodysuits,tee,black,plain,long,skinny,asymmetrical neck,long sleeve,regular sleeve,-,natural,asymmetrical,casual
